x,y
0.0,0.0
0.0,0.0
1.2,0.5
3.3,0.1
6.6,0.3
10.5,1.4
12.9,2.3
16.3,5.4
19.0,7.5
20.1,8.0
20.2,7.9
20.9,8.8
20.9,8.8
21.6,9.6
21.6,9.6
21.7,9.6
23.0,10.0
26.2,10.1
31.3,10.4
35.8,10.9
38.5,11.5
39.6,12.0
39.7,11.9
39.2,11.0
39.2,10.9
39.3,10.9
39.4,10.8
39.4,10.8
39.6,10.6
39.6,10.6
39.7,10.6
39.8,10.5
39.8,10.5
39.8,10.4
39.9,10.4
39.9,10.4
40.0,10.3
39.9,10.4
40.5,11.3
40.5,11.3
40.4,11.4
40.1,11.6
39.9,11.8
39.8,11.9
39.6,12.0
39.6,12.0
38.9,11.2
38.9,11.2
38.8,11.3
38.8,11.3
38.7,11.4
37.8,10.7
37.6,10.8
36.8,10.1
36.5,10.3
35.7,9.6
34.2,9.3
33.3,10.1
32.2,11.0
31.0,12.0
30.6,13.8
29.8,14.4
29.2,14.9
29.8,16.0
29.8,16.0
30.0,15.8
30.2,15.6
29.8,14.4
28.5,12.7
27.5,12.1
25.3,11.0
23.0,10.0
21.6,9.7
19.4,8.6
18.4,8.0
16.7,6.5
15.7,5.9
13.3,5.0
11.5,5.1
9.6,5.2
7.9,5.1
5.6,4.1
4.5,3.6
3.0,3.4
1.1,3.6
-0.9,3.8
-4.0,3.4
-7.3,3.4
-9.3,3.6
-10.0,4.1
-10.9,3.5
-11.1,3.6
-11.2,3.7
-11.2,3.7
-11.1,3.6
-11.0,3.6
-10.8,3.4
-10.7,3.3
-10.5,3.1
-10.4,3.1
-10.3,3.0
-10.3,2.9
-10.2,2.9
-10.0,2.7
-10.0,2.6
-9.9,2.6
-9.7,2.5
-9.7,2.3
-9.6,2.3
-9.5,2.2
-10.3,1.4
-10.3,1.4
-10.3,1.4
-10.3,1.4
-10.2,1.3
-10.1,1.2
-10.0,1.2
-10.0,1.2
-9.9,1.1
-9.9,1.1
-9.8,1.0
-10.5,0.1
-9.8,1.0
-10.5,0.1
-10.5,0.1
-10.5,0.1
-10.5,0.1
-10.5,0.1
-10.5,0.1
-10.5,0.1
-11.2,-0.8
-11.1,-0.8
-11.1,-0.8
-11.1,-0.8
-11.1,-0.8
-11.1,-0.8
-11.1,-0.8
-11.1,-0.8
-11.1,-0.8
-11.1,-0.8
-11.2,-0.8
-11.2,-0.7
-11.4,-0.6
