x,y
0.0,0.0
-2.2,10.6
-4.0,22.5
-6.2,36.1
-7.9,51.5
-9.2,68.2
-7.6,86.0
-3.7,103.5
-0.1,120.4
3.2,136.1
6.7,149.5
9.6,160.5
11.6,169.5
12.2,177.8
12.8,186.3
11.7,196.6
9.9,208.2
8.5,220.8
5.9,233.9
4.3,246.0
3.4,256.6
3.0,265.6
2.7,274.7
2.7,284.7
4.2,295.7
6.0,307.4
7.6,318.5
8.7,334.9
11.5,349.2
14.0,362.9
17.4,375.8
21.2,389.6
25.0,403.7
27.8,418.0
30.0,431.0
32.0,442.9
34.4,453.1
37.6,462.1
41.7,473.4
43.6,485.5
47.4,499.1
50.0,513.3
51.3,526.8
51.9,538.6
53.2,548.8
54.9,560.2
55.8,572.7
57.8,585.0
61.5,595.1
63.2,603.4
65.2,608.8
66.4,612.4
67.1,614.4
67.4,615.2
67.5,615.4
67.4,615.1
67.2,614.7
66.3,615.4
66.5,615.9
66.6,616.2
66.8,616.8
67.4,618.5
69.7,621.3
72.2,624.8
76.5,627.2
82.0,628.9
89.7,627.1
98.2,624.1
108.6,619.9
120.1,615.2
132.7,609.9
144.8,603.7
157.4,595.2
168.3,585.2
177.4,573.8
186.9,560.3
196.4,546.4
206.8,531.8
216.2,517.7
225.6,503.5
235.0,489.2
245.3,474.5
254.6,459.9
264.9,445.0
275.2,430.2
284.4,415.5
293.6,400.6
301.6,386.3
309.4,370.9
315.8,355.4
322.3,339.9
328.7,324.3
336.1,307.8
342.2,291.4
349.4,274.1
356.3,256.7
363.4,239.4
370.6,222.7
376.9,206.5
384.3,190.2
391.9,174.7
399.8,159.5
407.7,144.7
416.8,129.7
426.1,115.5
436.9,101.9
446.8,89.2
458.0,76.9
468.3,65.2
478.6,53.7
488.1,43.4
496.8,34.2
503.6,26.5
511.5,18.4
518.4,10.9
525.1,3.0
532.9,-5.4
540.5,-14.1
548.1,-23.0
555.6,-32.3
564.0,-42.5
572.2,-52.8
579.4,-62.9
586.4,-73.5
594.3,-84.9
601.0,-96.6
608.5,-109.0
614.7,-121.7
621.9,-135.1
629.0,-148.9
634.8,-162.7
641.7,-177.1
648.6,-191.6
655.4,-206.0
662.4,-220.4
668.2,-234.1
674.2,-247.6
681.2,-261.4
687.3,-274.7
692.3,-287.4
698.5,-300.4
704.5,-313.6
710.7,-326.7
716.5,-340.5
722.4,-354.3
728.2,-368.0
734.1,-381.8
741.2,-395.6
747.1,-409.3
753.0,-423.1
758.7,-437.4
764.4,-451.5
770.0,-466.3
775.3,-481.7
779.4,-496.7
784.7,-512.0
789.1,-526.9
792.3,-541.5
795.3,-556.3
799.5,-571.6
802.4,-587.0
806.2,-603.0
808.0,-618.4
810.6,-634.3
813.2,-650.6
814.6,-666.8
816.9,-683.8
818.2,-700.5
819.4,-717.3
820.5,-734.2
821.6,-751.2
821.6,-768.0
822.6,-785.1
823.8,-802.2
823.9,-818.4
825.2,-835.0
825.5,-851.0
827.8,-867.8
830.3,-884.6
832.6,-901.2
836.4,-917.9
840.1,-934.2
843.9,-950.5
848.8,-966.7
853.8,-983.0
858.9,-999.1
865.1,-1015.6
870.2,-1031.7
876.2,-1048.3
882.2,-1065.1
887.0,-1081.9
892.9,-1099.0
898.7,-1116.5
905.5,-1134.5
911.2,-1152.2
918.0,-1170.3
924.7,-1188.5
930.4,-1206.3
937.1,-1224.6
943.7,-1243.3
949.1,-1261.7
955.6,-1280.6
961.0,-1299.3
965.2,-1317.7
967.3,-1335.2
969.4,-1353.1
970.3,-1370.7
971.0,-1388.7
970.6,-1406.7
968.9,-1424.6
966.2,-1442.1
963.5,-1459.8
959.6,-1477.3
956.7,-1495.4
952.7,-1513.2
948.7,-1531.0
946.8,-1549.8
944.9,-1568.6
944.0,-1587.6
943.3,-1606.3
944.0,-1624.5
946.1,-1642.3
947.3,-1659.2
950.7,-1676.5
953.0,-1693.6
956.4,-1710.9
959.6,-1728.5
961.9,-1745.8
966.1,-1764.2
969.3,-1782.2
973.4,-1801.1
977.4,-1820.2
982.7,-1839.0
988.1,-1857.4
993.9,-1875.0
1001.8,-1893.1
1010.1,-1910.4
1019.5,-1927.8
1030.5,-1944.6
1042.7,-1960.9
1055.1,-1976.8
1068.6,-1992.9
1079.9,-2008.7
1092.0,-2025.1
1103.3,-2041.0
1114.2,-2057.6
1123.9,-2074.4
1132.1,-2091.7
1140.3,-2109.3
1147.3,-2126.8
1154.3,-2144.1
1161.5,-2161.0
1167.6,-2177.4
1174.9,-2194.2
1182.2,-2210.5
1188.9,-2225.7
1196.3,-2242.0
1202.6,-2257.8
1210.1,-2273.9
1216.3,-2290.1
1223.6,-2306.9
1229.6,-2323.7
1236.6,-2341.1
1242.7,-2357.8
1249.7,-2375.0
1256.8,-2392.1
1262.9,-2408.9
1269.9,-2426.0
1276.0,-2442.6
1282.2,-2459.2
1287.2,-2475.2
1293.5,-2491.3
1297.7,-2506.5
1301.9,-2521.2
1305.6,-2534.6
1308.2,-2547.3
1309.9,-2559.3
1311.7,-2571.0
1313.2,-2583.2
1314.6,-2596.1
1315.7,-2609.8
1316.4,-2624.7
1316.8,-2640.2
1318.1,-2656.7
1318.0,-2673.6
1317.7,-2691.3
1317.1,-2709.7
1317.4,-2729.1
1316.4,-2748.6
1315.1,-2768.6
