x,y
0.0,0.0
-2.0,1.7
-0.5,3.4
-1.0,3.8
-1.2,2.5
-1.0,3.8
-1.4,4.2
-0.9,3.7
-1.0,3.8
-1.6,1.4
-2.0,-1.2
-1.5,-3.1
-1.3,-6.2
-0.5,-8.5
-0.6,-11.3
0.2,-12.1
0.7,-12.5
1.0,-12.7
1.0,-12.7
1.1,-12.8
1.3,-13.0
1.5,-13.2
1.6,-13.3
1.7,-13.4
1.7,-13.4
1.7,-13.4
1.8,-13.5
1.8,-13.5
1.9,-13.5
1.9,-13.5
1.9,-13.5
1.9,-13.5
1.9,-13.5
1.8,-13.5
1.2,-14.4
1.0,-14.3
1.0,-14.2
0.9,-14.1
0.9,-14.1
0.8,-14.0
0.1,-15.0
0.1,-15.0
0.1,-15.0
0.1,-15.0
0.1,-15.0
0.1,-15.0
0.1,-15.0
0.1,-15.0
0.2,-15.0
0.3,-15.1
0.3,-15.1
0.6,-15.4
0.3,-16.5
0.6,-16.8
0.7,-17.0
0.8,-17.0
1.1,-17.3
1.5,-17.6
1.9,-18.0
1.9,-19.4
2.4,-19.9
2.9,-20.3
3.2,-20.6
3.3,-20.7
3.7,-21.0
3.2,-22.1
3.6,-22.4
3.9,-22.7
4.2,-22.9
4.4,-23.1
4.4,-23.1
4.5,-23.2
4.5,-23.2
4.5,-23.2
4.5,-23.2
4.5,-23.2
4.5,-23.2
4.5,-23.2
4.5,-23.2
4.5,-23.2
4.5,-23.2
4.5,-23.2
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.8,-24.0
3.7,-24.0
3.7,-24.0
3.6,-23.9
3.5,-23.8
3.5,-23.8
3.5,-23.8
3.5,-23.8
3.5,-23.8
2.8,-24.6
2.8,-24.7
2.8,-24.7
2.8,-24.7
2.9,-24.8
2.9,-24.8
2.9,-24.8
3.0,-24.8
3.0,-24.8
3.0,-24.8
3.1,-24.9
3.1,-24.9
3.1,-24.9
3.1,-24.9
3.2,-25.0
3.3,-25.1
3.5,-25.2
3.7,-25.4
3.8,-25.5
3.8,-25.6
3.8,-25.6
3.8,-25.6
3.8,-25.6
3.8,-25.6
3.8,-25.6
3.8,-25.6
3.9,-25.7
3.2,-26.5
3.3,-26.5
3.3,-26.5
3.3,-26.5
3.4,-26.6
3.4,-26.6
3.4,-26.7
3.4,-26.7
3.5,-26.8
3.5,-26.8
3.5,-26.8
3.6,-26.8
3.6,-26.8
3.6,-26.8
3.7,-26.9
3.7,-26.9
3.8,-27.0
3.9,-27.1
4.2,-27.4
4.8,-27.9
4.8,-29.5
4.6,-30.7
4.8,-30.9
3.5,-32.8
2.8,-33.6
3.0,-33.7
2.3,-34.7
2.3,-34.7
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.2,-34.6
2.1,-34.5
2.1,-34.5
2.1,-34.5
2.1,-34.5
2.1,-34.5
2.1,-34.5
2.1,-34.5
2.1,-34.5
2.1,-34.5
2.1,-34.5
2.1,-34.4
2.1,-34.5
2.1,-34.4
2.1,-34.4
2.1,-34.4
2.1,-34.4
2.1,-34.4
2.1,-34.4
2.1,-34.4
2.1,-34.4
2.1,-34.4
1.5,-35.4
1.0,-36.5
0.1,-38.6
-0.9,-40.7
-3.1,-44.7
-4.6,-47.9
-6.9,-51.8
-9.1,-55.8
-12.7,-61.7
-15.5,-66.6
-19.3,-72.3
-22.1,-77.2
-25.1,-82.1
-28.2,-86.8
-30.6,-90.7
-33.0,-94.6
-35.3,-98.5
-38.3,-103.3
-41.2,-108.2
-44.1,-113.2
-46.9,-118.1
-49.9,-122.9
-53.2,-127.7
-56.3,-132.3
-60.3,-137.8
-64.4,-143.1
-68.7,-148.3
-72.2,-152.7
-76.5,-158.0
-80.6,-163.3
-84.7,-168.6
-88.1,-173.1
-91.5,-177.5
-96.1,-182.5
-99.4,-185.5
-103.4,-187.9
-107.6,-188.8
-111.7,-188.2
-116.3,-187.1
-120.5,-185.1
-125.0,-182.6
-130.0,-179.7
-135.6,-176.3
-141.8,-173.9
-147.7,-171.8
-153.4,-169.9
-158.4,-168.4
-163.1,-167.1
-168.4,-167.1
-173.9,-168.3
-179.3,-171.0
-184.6,-175.3
-190.0,-181.0
-195.4,-186.9
-200.7,-192.6
-206.1,-198.4
-211.4,-204.1
-217.0,-209.7
-224.1,-215.6
-232.1,-220.5
-240.4,-225.2
-248.1,-228.8
-255.6,-232.8
-263.2,-236.7
-270.6,-240.7
-278.1,-244.5
-285.7,-248.4
-293.3,-252.2
-301.6,-256.9
-310.1,-261.5
-318.6,-266.0
-327.2,-270.4
-336.3,-274.5
-345.9,-278.2
-356.3,-281.0
-367.0,-282.1
-376.9,-281.0
-387.9,-280.4
-398.2,-278.9
-409.3,-278.2
-419.9,-276.4
-430.7,-274.5
-441.6,-272.6
-452.0,-269.4
-462.1,-265.1
-471.8,-259.6
-481.7,-254.0
-490.8,-247.5
-500.2,-240.9
-510.1,-235.2
-519.0,-229.0
-527.4,-221.6
-536.5,-215.3
-545.7,-208.8
-553.8,-201.7
-561.7,-194.8
-569.2,-188.2
-575.7,-181.1
-583.2,-174.5
-591.6,-168.7
-600.2,-162.7
-609.6,-157.6
-618.0,-151.7
-627.4,-146.5
-636.5,-141.6
-644.6,-136.0
-652.2,-130.8
-660.0,-125.6
-666.0,-118.9
-672.2,-112.0
-679.2,-105.9
-685.6,-98.7
-693.6,-93.3
-701.6,-86.4
-709.8,-79.3
-718.8,-72.9
-727.4,-66.9
-736.4,-61.9
-746.4,-57.9
-756.0,-53.8
-766.8,-51.9
-777.1,-49.1
-788.0,-46.9
-799.6,-45.9
-810.8,-45.1
-822.0,-44.2
-832.5,-42.7
-844.6,-42.7
-856.0,-41.5
-867.7,-40.3
-879.7,-38.9
-891.9,-37.3
-904.5,-35.2
-917.9,-32.6
-930.1,-27.9
-942.4,-23.3
-953.5,-18.1
-963.6,-12.2
-973.3,-6.7
-982.0,0.7
-990.9,8.5
-1000.0,16.5
-1008.3,25.2
-1016.5,33.8
-1023.8,43.2
-1030.3,53.4
-1036.3,63.0
-1040.2,74.0
-1044.9,84.0
-1048.4,94.7
-1051.9,105.1
-1054.5,116.4
-1057.6,126.5
-1060.1,136.3
-1062.2,145.6
-1064.5,153.5
-1066.1,160.8
-1065.9,166.6
-1063.7,170.6
-1060.4,172.2
-1056.2,173.0
-1051.8,173.5
-1048.0,173.3
-1043.5,173.9
-1038.5,175.4
-1033.8,175.8
-1029.2,176.3
-1025.5,176.0
-1022.5,174.9
-1018.8,174.7
-1016.1,173.7
-1011.9,173.1
-1006.7,171.5
-1001.0,169.5
-994.2,168.1
-988.1,165.7
-982.9,162.7
-976.3,161.4
-970.5,159.3
-963.9,158.0
-957.8,157.1
-950.5,158.2
-944.6,159.1
-938.8,159.9
-933.3,161.1
-928.2,162.5
-923.2,164.3
-919.2,165.3
-915.0,167.5
-911.6,169.0
-909.4,170.0
-909.1,169.8
-909.1,169.8
-909.1,169.8
-909.1,169.8
-909.1,169.8
-909.1,169.8
-909.1,169.8
-909.0,169.7
-909.0,169.7
-909.0,169.7
-909.0,169.7
-909.0,169.7
-909.0,169.7
-909.0,169.7
-908.9,169.6
-908.9,169.6
-908.9,169.6
-908.9,169.6
-908.9,169.6
-908.8,169.5
-908.8,169.5
-908.8,169.5
-908.8,169.5
-908.7,169.4
-908.7,169.4
-908.7,169.4
-908.7,169.4
-908.6,169.4
-908.6,169.4
-908.5,169.3
-907.5,169.9
-906.6,170.6
-904.6,171.8
-902.8,173.2
-901.1,174.6
-899.2,175.9
-896.6,178.2
-893.8,180.3
-889.7,184.1
-885.9,188.1
-882.9,191.5
-879.9,194.9
-877.2,198.4
-874.7,202.2
-873.2,205.4
-871.1,209.4
-869.9,212.8
-867.3,218.1
-865.7,222.7
-863.8,228.4
-861.9,234.2
-860.1,240.0
-858.0,245.7
-855.8,251.2
-853.9,256.9
-853.1,262.3
-853.8,267.3
-855.8,272.1
-858.0,276.9
-860.7,280.7
-863.1,284.4
-866.4,287.2
-869.2,291.1
-872.3,295.3
-873.9,301.2
-876.1,306.1
-876.7,312.6
-878.2,318.4
-879.0,325.0
-880.2,330.6
-880.6,336.8
-881.9,342.5
-883.5,348.2
-885.5,353.0
-886.7,358.5
-888.5,363.1
-890.8,366.6
-892.9,369.9
-895.0,373.2
-897.6,375.4
-901.2,375.7
-903.4,376.1
-905.7,375.1
-906.8,374.5
-906.9,374.6
-907.7,373.8
-906.9,374.6
-907.6,373.7
-907.7,373.8
-907.6,373.7
-907.6,373.7
-907.7,373.8
-907.7,373.8
-907.6,373.7
-907.6,373.7
-907.6,373.7
-907.5,373.6
-907.3,373.5
-907.3,373.5
-907.3,373.5
-907.3,373.5
-907.2,373.4
-906.4,374.1
-906.2,374.0
-906.1,373.9
-906.1,373.9
-906.1,373.9
-906.2,374.0
-906.2,374.0
-906.2,374.0
-905.5,374.8
-905.5,374.8
-905.5,374.8
-906.3,374.1
-906.4,374.1
-906.6,374.3
-906.6,374.4
-907.7,373.8
-908.8,373.3
-909.1,373.5
-909.1,373.6
-909.2,373.7
-910.1,373.0
-910.2,373.1
-910.3,373.2
-910.4,373.2
-910.5,373.3
-910.5,373.3
-910.5,373.3
-910.7,373.5
-911.6,372.8
-910.8,373.6
-910.8,373.6
-910.7,373.5
-910.6,373.4
-909.7,374.1
-909.6,374.0
-909.5,373.9
-909.4,373.9
-908.6,374.6
-908.5,374.5
-908.3,374.4
-908.2,374.3
-908.2,374.3
-907.3,374.9
-907.3,374.9
-907.2,374.9
-907.1,374.8
-907.1,374.8
-907.1,374.8
-907.1,374.8
-907.0,374.7
-907.0,374.7
-907.0,374.7
-906.3,375.5
-906.2,375.5
-906.2,375.5
-906.2,375.5
-906.2,375.5
-906.1,375.4
-906.0,375.3
-906.0,375.3
-906.0,375.3
-905.9,375.2
-905.9,375.2
-905.9,375.2
-905.8,375.2
-905.8,375.2
-905.8,375.2
-905.8,375.2
-905.7,375.1
-905.7,375.1
-905.7,375.1
-905.7,375.1
-905.6,375.0
-905.6,375.0
-904.9,375.9
-904.9,375.9
